Model,RMSE,R-squared
LightGBM,149.077303,0.991851
CatBoost,157.701483,0.99088
XGBoost,141.775253,0.992629
RandomForest,293.07218,0.968504
ExtraTrees,349.203886,0.955284
DecisionTree,374.929144,0.948453
Voting,207.44416,0.98422
Stacking,121.945606,0.994547
Bagging_LightGBM,174.703914,0.988808
Bagging_CatBoost,182.982316,0.987722
Bagging_XGBoost,191.048447,0.986616
Bagging_RandomForest,332.971399,0.959345
Bagging_ExtraTrees,377.215926,0.947823
Bagging_DecisionTree,332.566492,0.959444
Voting_Stacking_Bagging,224.834703,0.981463
