Model,RMSE,R-squared
LightGBM,620.962565,0.967581
CatBoost,701.435387,0.958634
XGBoost,548.334778,0.974721
RandomForest,987.173252,0.918068
ExtraTrees,1024.967023,0.911674
DecisionTree,960.564596,0.922425
Voting,677.513195,0.961407
Stacking,530.239604,0.976362
Bagging_LightGBM,715.52561,0.956955
Bagging_CatBoost,748.778088,0.952862
Bagging_XGBoost,654.264648,0.96401
Bagging_RandomForest,1236.745558,0.871403
Bagging_ExtraTrees,1632.256543,0.824865
Bagging_DecisionTree,894.146047,0.932782
Voting_Stacking_Bagging,783.41343,0.9484
