WEC: ava. Rotation,WEC: max. Rotation,WEC: min. Rotation,WEC: ava. Power,WEC: max. Power,WEC: min. Power,WEC: ava. Nacel position including cable twisting,WEC: ava. reactive Power,WEC: max. reactive Power,WEC: min. reactive Power,WEC: ava. blade angle A,Sys 1 inverter 1 cabinet temp.,Sys 1 inverter 2 cabinet temp.,Sys 1 inverter 3 cabinet temp.,Sys 1 inverter 4 cabinet temp.,Sys 1 inverter 5 cabinet temp.,Sys 1 inverter 6 cabinet temp.,Sys 1 inverter 7 cabinet temp.,Sys 2 inverter 1 cabinet temp.,Sys 2 inverter 2 cabinet temp.,Sys 2 inverter 3 cabinet temp.,Sys 2 inverter 4 cabinet temp.,Sys 2 inverter 5 cabinet temp.,Sys 2 inverter 6 cabinet temp.,Sys 2 inverter 7 cabinet temp.,Spinner temp.,Front bearing temp.,Rear bearing temp.,Pitch cabinet blade A temp.,Pitch cabinet blade B temp.,Pitch cabinet blade C temp.,Blade A temp.,Blade B temp.,Blade C temp.,Rotor temp. 1,Rotor temp. 2,Stator temp. 1,Stator temp. 2,Nacelle ambient temp. 1,Nacelle ambient temp. 2,Nacelle temp.,Nacelle cabinet temp.,Main carrier temp.,Rectifier cabinet temp.,Yaw inverter cabinet temp.,Fan inverter cabinet temp.,Ambient temp.,Tower temp.,Control cabinet temp.,Transformer temp.,RTU: ava. Setpoint 1,Inverter averages,Inverter std dev
6.369999886,6.639999866,6.159999847,87,123,65,171,32,32,32,1.0,29,30,29,35,36,37,36,37,36,36,36,-14,0,-50,28,30,34,45,45,44,165,165,165,47,47,48,48,19,19,28,32,25,39,36,40,20,26,36,45,3050,34.27272797,3.227720737
0.0,0.0,0.0,0,0,0,-52,0,0,0,91.93000031,24,25,24,24,25,24,24,26,26,24,23,-14,0,-50,15,12,12,28,27,39,166,166,167,15,15,15,14,14,14,15,19,14,25,22,26,16,15,24,33,2501,24.45454597,0.934198797
13.47999954,13.94999981,12.92000008,2078,2533,1696,-66,173,204,152,1.0,19,21,20,20,21,18,18,20,19,17,17,-14,0,-50,8,12,23,22,22,22,167,166,167,58,58,80,80,5,5,6,9,9,21,16,20,3,18,25,40,3050,19.09090996,1.445997596
10.44999981,11.61999989,9.699999809,998,1491,710,-376,64,79,55,1.0,32,31,31,30,32,30,30,31,31,29,29,-14,0,-50,17,22,26,31,31,30,166,166,166,51,51,72,71,15,15,16,19,18,27,24,30,21,30,37,48,3050,30.54545403,1.035725594
14.68999958,15.53999996,14.13000011,3060,3114,2994,-68,296,299,294,12.77999973,29,30,31,28,30,26,29,28,29,25,26,-14,0,-50,12,18,26,31,31,30,166,165,166,99,98,96,95,6,5,10,12,13,23,19,22,6,28,39,67,3050,28.27272797,1.902151942
6.519999981,6.880000114,6.170000076,111,195,68,185,32,40,32,1.0,14,15,15,19,21,21,20,22,21,21,20,-14,0,-50,21,19,21,35,35,35,166,165,166,24,24,22,22,11,11,15,19,13,29,22,27,10,10,19,26,3050,19.0,2.898275375
0.0,0.059999999,0.0,0,0,0,594,0,0,0,91.95999908,19,22,21,21,22,21,21,23,23,21,19,-14,0,-50,10,10,10,27,25,31,167,166,167,12,13,12,12,11,11,14,25,11,24,20,23,11,12,20,31,3050,21.18181801,1.328019738
12.27999973,14.0,10.77000046,1825,3055,1163,-19,165,273,119,1.0,25,24,26,22,25,21,24,24,24,21,22,-14,0,-50,8,14,22,23,23,23,167,166,167,58,57,77,76,3,3,6,9,9,19,16,19,3,22,31,46,3050,23.45454597,1.694912076
14.13000011,14.89000034,13.40999985,3025,3139,2440,225,280,288,228,4.070000172,31,31,31,30,32,28,29,30,30,26,27,-14,0,-50,17,21,28,35,34,33,166,165,166,113,112,101,100,11,11,15,17,17,28,24,27,12,29,38,62,3050,29.54545403,1.86352551
10.63000011,11.89999962,8.909999847,1098,1648,539,-59,93,133,66,1.0,25,26,25,26,26,24,24,25,24,22,22,-14,0,-50,14,19,25,29,30,29,166,166,167,50,50,64,64,9,9,14,16,14,29,22,28,10,24,31,43,3050,24.45454597,1.439696908
